"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"co66","John T. Waterhouse Herbarium","","Records provided by John T. Waterhouse Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co66","","","","56"
"co64","The University of Melbourne Herbarium","","Records provided by The University of Melbourne Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co64","","","","546"
"co65","N.C.W. Beadle Herbarium","","Records provided by N.C.W. Beadle Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co65","","","","1939"
"dr16778","Wildlife Watch NSC","10.15468/4x6bze","Wildlife Watch NSC : North Sydney Council (2024) Wildlife Watch NSC dataset
","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr16778","","","","1"
"dp52","Questagame","","Records provided by Questagame, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp52","","","","2849"
"co60","Tasmanian Herbarium","","Records provided by Tasmanian Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co60","","","","5842"
"dr1097","Victorian Biodiversity Atlas","10.15468/khlfs3","Records provided by Victorian Biodiversity Atlas, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Copyright in the data and materials resides with the copyright owners as indicated next to the detailed records. In any reproduction, distribution or publication of the data, or in any use or adaptation of the data to create derivative works, the user must include a citation which attributes the source of the data and the date the data was published, as follows: Data Source: 'Victorian Biodiversity Atlas', © The State of Victoria, Department of Environment and Primary Industries (published [month, year]). Data Source: 'Victorian Biodiversity Atlas', (c) The State of Victoria, Department of Environment, Land, Water & Planning (published [month, year]). 
        Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int) 4.0)","For more information: https://collections.ala.org.au/public/show/dr1097","","","","57076"
"dr90","Australian Antarctic Division Herbarium","10.15468/lbswnz","See metadata record Contact Ben Raymond for details on citation details.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr90","","","","3"
"dp3301","NatureMapr","","Records provided by NatureMapr, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3301","","","","7"
"dr1411","iNaturalist Australia","","iNaturalist.org: iNaturalist Research-grade Observations. doi:10.15468/ab3s5x
Accessed via http://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7 on 2017-03-16","","For more information: https://collections.ala.org.au/public/show/dr1411","","","","145752"
"dr741","Records from the South Australian Seed Conservation Centre","10.15468/yr1fds","Records provided by Records from the South Australian Seed Conservation Centre, accessed through ALA website.","CC-BY","For more information: https://collections.ala.org.au/public/show/dr741","","","","1"
"in21","Royal Botanic Gardens Victoria","","Records provided by Royal Botanic Gardens Victoria, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in21","","","","22305"
"in26","The University of Melbourne","","Records provided by The University of Melbourne, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in26","","","","546"
"in25","Tasmanian Museum and Art Gallery","","Records provided by Tasmanian Museum and Art Gallery, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in25","","","","5842"
